Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides H23R_1	Peptides H23R_2	Peptides H23R_3	Peptides WT_1	Peptides WT_2	Peptides WT_3	Razor + unique peptides H23R_1	Razor + unique peptides H23R_2	Razor + unique peptides H23R_3	Razor + unique peptides WT_1	Razor + unique peptides WT_2	Razor + unique peptides WT_3	Unique peptides H23R_1	Unique peptides H23R_2	Unique peptides H23R_3	Unique peptides WT_1	Unique peptides WT_2	Unique peptides WT_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type H23R_1	Identification type H23R_2	Identification type H23R_3	Identification type WT_1	Identification type WT_2	Identification type WT_3	Sequence coverage H23R_1 [%]	Sequence coverage H23R_2 [%]	Sequence coverage H23R_3 [%]	Sequence coverage WT_1 [%]	Sequence coverage WT_2 [%]	Sequence coverage WT_3 [%]	Intensity	Intensity H23R_1	Intensity H23R_2	Intensity H23R_3	Intensity WT_1	Intensity WT_2	Intensity WT_3	LFQ intensity H23R_1	LFQ intensity H23R_2	LFQ intensity H23R_3	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	MS/MS Count H23R_1	MS/MS Count H23R_2	MS/MS Count H23R_3	MS/MS Count WT_1	MS/MS Count WT_2	MS/MS Count WT_3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P60228|EIF3E_HUMAN	sp|P60228|EIF3E_HUMAN	5	5	5		1	5	5	5	5	4	4	5	5	5	5	4	4	5	5	5	5	4	4	5	5	5	13.7	13.7	13.7	52.22	445	445	0	45.639	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.7	10.8	10.8	13.7	13.7	13.7	69461000	9673500	5243800	7636200	24173000	10596000	12139000	12529000	9402200	10773000	13738000	9899700	10248000	3	1	1	2	4	5	16				763	2862;4154;5155;5343;7866	True;True;True;True;True	2903;4218;5255;5445;8019	17345;17346;17347;17348;25393;25394;25395;25396;25397;25398;31579;31580;31581;31582;31583;31584;32778;32779;32780;32781;32782;32783;48655;48656;48657;48658;48659;48660	17411;17412;17413;17414;25460;25461;31697;32935;32936;32937;32938;32939;32940;32941;32942;48998	17411;25460;31697;32942;48998		
sp|P60660|MYL6_HUMAN;sp|P14649|MYL6B_HUMAN	sp|P60660|MYL6_HUMAN	4;1	4;1	4;1		2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	34.4	34.4	34.4	16.93	151	151;208	0	41.857	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.4	34.4	34.4	34.4	34.4	34.4	101080000	15649000	15706000	17486000	14759000	17717000	19763000	15659000	17081000	17357000	15122000	16670000	15813000	7	6	7	5	7	7	39				764	391;1223;5265;7427	True;True;True;True	396;1244;5366;7572	2314;2315;2316;2317;2318;2319;7376;7377;7378;7379;7380;7381;32258;32259;32260;32261;32262;32263;45993;45994;45995;45996;45997;45998	2349;2350;2351;2352;2353;2354;2355;2356;2357;7628;7629;7630;7631;7632;7633;32365;32366;32367;32368;32369;32370;32371;32372;32373;32374;32375;32376;32377;32378;32379;32380;32381;32382;46260;46261;46262;46263;46264;46265	2357;7628;32375;46260		
sp|P63261|ACTG_HUMAN;sp|P60709|ACTB_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|A5A3E0|POTEF_HUMAN;sp|Q9BYX7|ACTBM_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN	sp|P63261|ACTG_HUMAN;sp|P60709|ACTB_HUMAN	16;16;4;4;4;3;3;2	16;16;4;4;4;3;3;2	9;9;0;1;1;1;1;1	;	8	16	16	9	14	16	15	16	14	16	14	16	15	16	14	16	8	9	8	9	7	9	59.7	59.7	39.7	41.792	375	375;375;376;1075;1075;375;1075;1038	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	53.6	59.7	59.7	59.7	56.3	59.7	13910000000	1736800000	2378900000	1961100000	3532100000	2228400000	2073000000	1805800000	2689500000	1677600000	2763100000	1836500000	1834100000	47	49	44	49	46	51	286				765	700;998;1008;1428;2762;3553;3609;3993;5118;5601;6570;7022;7146;8117;8118;8170	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	709;1012;1013;1023;1024;1450;1451;2802;3608;3665;4052;5214;5215;5711;6696;7155;7156;7284;8277;8278;8330	4182;4183;4184;4185;4186;4187;4188;4189;4190;4191;4192;4193;5978;5979;5980;5981;5982;5983;5984;5985;5986;5987;5988;5989;6051;6052;6053;6054;6055;6056;6057;6058;6059;6060;6061;6062;6063;6064;6065;6066;6067;6068;6069;6070;6071;6072;8617;8618;8619;8620;8621;8622;8623;8624;8625;8626;16634;16635;16636;16637;16638;16639;21588;21589;21590;21591;21592;21593;21907;21908;21909;21910;21911;21912;24410;24411;24412;24413;24414;24415;24416;24417;24418;24419;24420;31325;31326;31327;31328;31329;31330;31331;31332;34442;34443;34444;34445;34446;40431;40432;40433;40434;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444;40445;40446;40447;40448;40449;40450;43222;43223;43224;43225;43226;43227;43228;43229;43230;43231;43232;43233;43234;43235;43236;43237;43238;43239;43240;43241;43242;43243;43244;43245;43246;43247;43248;43249;43250;43251;43252;43253;43254;43255;43256;44065;44066;44067;44068;44069;44070;44071;44072;44073;44074;44075;44076;50250;50251;50252;50253;50254;50255;50256;50257;50258;50543;50544;50545;50546;50547	4298;4299;4300;4301;4302;4303;4304;4305;4306;4307;4308;4309;4310;4311;4312;4313;4314;4315;4316;4317;4318;4319;4320;4321;4322;4323;4324;4325;4326;4327;6049;6050;6051;6052;6053;6054;6055;6056;6057;6058;6059;6060;6061;6062;6063;6064;6065;6066;6067;6068;6069;6070;6071;6072;6073;6074;6146;6147;6148;6149;6150;6151;6152;6153;6154;6155;6156;6157;6158;6159;6160;6161;6162;6163;6164;6165;6166;6167;6168;6169;6170;6171;6172;6173;6174;6175;6176;6177;6178;6179;6180;6181;6182;6183;8699;8700;8701;8702;8703;8704;8705;8706;8707;8708;8709;8710;8711;16751;16752;16753;16754;16755;16756;16757;16758;16759;16760;16761;21799;21800;21801;21802;21803;21804;21805;21806;21807;21808;22051;22052;22053;22054;22055;22056;22057;22058;22059;22060;22061;22062;22063;22064;24495;24496;24497;24498;24499;24500;24501;24502;24503;24504;24505;24506;24507;24508;24509;24510;24511;24512;24513;24514;24515;24516;24517;24518;24519;24520;24521;24522;24523;31441;31442;31443;31444;31445;31446;31447;34698;34699;40432;40433;40434;40435;40436;40437;40438;40439;40440;40441;40442;40443;40444;40445;40446;40447;40448;40449;40450;40451;40452;40453;40454;40455;40456;40457;40458;40459;40460;40461;40462;40463;40464;40465;40466;40467;40468;40469;40470;40471;40472;43244;43245;43246;43247;43248;43249;43250;43251;43252;43253;43254;43255;43256;43257;43258;43259;43260;43261;43262;43263;43264;43265;43266;43267;43268;43269;43270;43271;43272;43273;43274;43275;43276;43277;43278;43279;43280;43281;43282;44102;44103;44104;44105;44106;44107;44108;44109;44110;44111;44112;44113;44114;44115;44116;44117;44118;44119;44120;44121;44122;44123;50566;50567;50568;50569;50846	4319;6049;6167;8704;16756;21808;22057;24513;31446;34699;40434;43279;44118;50567;50569;50846	124;125;126;127;128	119;153;190;305;325
sp|P60842|IF4A1_HUMAN;sp|Q14240|IF4A2_HUMAN	sp|P60842|IF4A1_HUMAN;sp|Q14240|IF4A2_HUMAN	15;8	15;8	14;7	;	2	15	15	14	12	14	14	13	14	14	12	14	14	13	14	14	11	13	13	12	13	13	47.8	47.8	43.8	46.153	406	406;407	0	194.07	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.6	47.3	46.3	42.1	47.3	46.3	699990000	92134000	104190000	99018000	160030000	110050000	134580000	109710000	125330000	92294000	117180000	95879000	121650000	18	15	14	16	16	21	100				766	862;863;903;2329;2399;2400;2444;2679;2738;4498;4588;4994;5622;7261;7481	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	875;876;916;2365;2436;2437;2481;2717;2778;4567;4658;5076;5077;5732;7401;7627	5194;5195;5196;5197;5198;5199;5200;5201;5444;5445;5446;5447;13953;13954;13955;13956;13957;13958;14397;14398;14399;14400;14401;14402;14403;14404;14405;14406;14407;14408;14409;14410;14411;14696;14697;14698;14699;14700;14701;14702;14703;14704;14705;14706;14707;16095;16096;16097;16098;16099;16100;16501;16502;16503;16504;16505;16506;27490;27491;27492;27493;27494;27495;28032;28033;28034;28035;28036;28037;30508;30509;30510;30511;30512;30513;30514;30515;30516;30517;30518;30519;34577;34578;34579;34580;34581;34582;44912;44913;44914;44915;44916;44917;46326;46327;46328;46329;46330;46331	5345;5346;5347;5348;5349;5350;5351;5564;14086;14087;14088;14089;14090;14091;14485;14486;14487;14488;14489;14490;14491;14492;14493;14494;14495;14496;14497;14498;14499;14800;14801;14802;14803;14804;14805;14806;16154;16155;16156;16157;16158;16625;16626;16627;27531;27532;27533;27534;27535;27536;27537;27538;27539;28053;28054;28055;28056;28057;28058;28059;28060;30538;30539;30540;30541;30542;30543;30544;30545;30546;30547;30548;30549;30550;30551;30552;30553;30554;30555;30556;30557;30558;30559;30560;30561;34829;34830;34831;34832;34833;45127;45128;46618;46619;46620;46621;46622;46623;46624;46625;46626	5345;5351;5564;14091;14490;14499;14805;16158;16626;27536;28054;30551;34832;45127;46622	129	178
sp|P60866|RS20_HUMAN	sp|P60866|RS20_HUMAN	2	2	2		1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	19.3	19.3	19.3	13.373	119	119	0	20.649	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.3	19.3	19.3	19.3	10.1	19.3	65300000	8284800	10110000	12219000	9969200	8167800	16549000	10069000	12143000	12169000	5468900	0	14581000	4	3	2	2	3	4	18				767	4203;6961	True;True	4268;7093	25693;25694;25695;25696;25697;25698;42865;42866;42867;42868;42869	25787;25788;25789;25790;25791;25792;25793;25794;25795;25796;25797;25798;25799;25800;42907;42908;42909;42910	25800;42907		
sp|P60900|PSA6_HUMAN	sp|P60900|PSA6_HUMAN	8	8	8		1	8	8	8	8	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	7	8	31.3	31.3	31.3	27.399	246	246	0	88.975	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.3	31.3	31.3	31.3	27.2	31.3	379510000	54786000	50285000	62484000	80824000	64618000	66514000	52474000	60324000	56582000	72071000	64080000	61078000	6	7	6	7	6	8	40				768	295;2828;3288;3289;3847;4312;4897;5782	True;True;True;True;True;True;True;True	299;2869;3339;3340;3903;4378;4969;5893	1711;1712;1713;1714;1715;1716;17077;17078;17079;17080;17081;20050;20051;20052;20053;20054;20055;20056;20057;20058;20059;20060;20061;20062;23483;23484;23485;23486;23487;23488;26382;26383;26384;26385;26386;26387;29909;29910;29911;29912;29913;29914;35525;35526;35527;35528;35529;35530	1766;1767;1768;1769;1770;17133;17134;20300;20301;20302;20303;20304;20305;20306;20307;20308;20309;20310;20311;23544;23545;23546;23547;23548;23549;26429;26430;26431;26432;26433;26434;29942;29943;29944;29945;29946;29947;29948;29949;35632	1770;17134;20302;20307;23549;26433;29945;35632		
sp|P60953|CDC42_HUMAN	sp|P60953|CDC42_HUMAN	2	2	2		1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	11	11	11	21.258	191	191	0	18.379	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11	11	11	11	11	11	17066000	1937100	2466500	4149200	2786200	2368500	3358600	2177700	2805100	4007700	2349300	0	2775500	2	1	1	1	1	2	8				769	6937;6938	True;True	7069;7070	42717;42718;42719;42720;42721;42722;42723;42724;42725;42726;42727	42771;42772;42773;42774;42775;42776;42777;42778	42771;42778		
sp|P60981|DEST_HUMAN	sp|P60981|DEST_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.7	6.7	6.7	18.506	165	165	0.0016474	9.8572	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.7	6.7	6.7	6.7	6.7	6.7	35153000	5225200	4277300	5096900	7661200	6926000	5966100	0	0	0	0	0	4771500	2	2	2	2	2	2	12				770	7931	True	8086	49049;49050;49051;49052;49053;49054	49365;49366;49367;49368;49369;49370;49371;49372;49373;49374;49375;49376	49371		
sp|P60983|GMFB_HUMAN	sp|P60983|GMFB_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	19.7	19.7	19.7	16.713	142	142	0	43.566	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.7	19.7	19.7	19.7	19.7	19.7	40656000	4845700	3270900	6249200	8662100	9005200	8622600	4856400	3757000	5755400	8475700	8832700	6995400	3	1	3	2	2	2	13				771	4845;5451	True;True	4917;5557	29606;29607;29608;29609;29610;29611;33522;33523;33524;33525;33526;33527	29656;29657;29658;29659;29660;29661;33715;33716;33717;33718;33719;33720;33721	29659;33720		
sp|P61019|RAB2A_HUMAN;sp|Q8WUD1|RAB2B_HUMAN	sp|P61019|RAB2A_HUMAN;sp|Q8WUD1|RAB2B_HUMAN	3;2	3;2	3;2	;	2	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	18.9	18.9	18.9	23.545	212	212;216	0	23.371	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.9	12.7	18.9	18.9	18.9	18.9	22314000	3364300	1992900	4587700	4760400	2736800	4872200	3393000	3089100	4111300	4018700	0	3952000	0	0	1	1	2	2	6				772	2198;4579;6621	True;True;True	2232;4649;6747	13164;13165;13166;13167;13168;27976;27977;27978;27979;27980;27981;40779;40780;40781;40782;40783;40784	13234;13235;28014;28015;28016;28017;40746;40747	13235;28014;40746		
sp|P61024|CKS1_HUMAN	sp|P61024|CKS1_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	53.2	53.2	53.2	9.6601	79	79	0	27.621	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	53.2	53.2	53.2	53.2	53.2	53.2	46743000	6123800	6495900	7146700	14233000	6125800	6618000	6043900	8146800	6626400	13628000	5855500	5208000	3	1	2	1	2	2	11				773	5301;5660	True;True	5402;5771	32501;32502;32503;32504;32505;32506;34782;34783;34784;34785;34786;34787	32660;32661;32662;32663;35026;35027;35028;35029;35030;35031;35032	32662;35030		
sp|P62837|UB2D2_HUMAN;sp|P61077|UB2D3_HUMAN;sp|Q9Y2X8|UB2D4_HUMAN;sp|P51668|UB2D1_HUMAN	sp|P62837|UB2D2_HUMAN;sp|P61077|UB2D3_HUMAN;sp|Q9Y2X8|UB2D4_HUMAN;sp|P51668|UB2D1_HUMAN	2;2;1;1	2;2;1;1	2;2;1;1	;;;	4	2	2	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	19.7	19.7	19.7	16.735	147	147;147;147;147	0	11.762	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	12.2	12.2	19.7	12.2	12.2	19.7	36071000	1797700	1275300	11673000	2989100	3613700	14722000	0	0	0	0	0	11774000	0	0	0	1	0	1	2				774	3568;6429	True;True	3623;6554	21667;21668;21669;21670;21671;21672;39539;39540	21867;39595	21867;39595		
sp|P61086|UBE2K_HUMAN	sp|P61086|UBE2K_HUMAN	4	4	4		1	4	4	4	2	4	3	3	4	4	2	4	3	3	4	4	2	4	3	3	4	4	27.5	27.5	27.5	22.406	200	200	0	56.611	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14	27.5	27.5	27.5	27.5	27.5	53046000	3927000	8063900	7086000	9350400	10068000	14551000	6915100	7210800	7287600	11075000	6943100	11016000	2	3	2	2	3	5	17				775	4851;5165;7193;7194	True;True;True;True	4923;5265;7331;7332	29645;29646;29647;29648;29649;29650;31644;31645;31646;31647;31648;31649;44486;44487;44488;44489;44490;44491;44492;44493	29691;29692;29693;29694;29695;29696;29697;31756;44721;44722;44723;44724;44725;44726;44727;44728;44729	29697;31756;44725;44728		
sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN	sp|P61088|UBE2N_HUMAN;sp|Q5JXB2|UE2NL_HUMAN	5;3	5;3	5;3	;	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	42.1	42.1	42.1	17.138	152	152;153	0	71.598	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.1	42.1	42.1	42.1	42.1	42.1	190420000	26662000	23047000	33469000	36731000	31187000	39329000	24829000	26493000	28390000	36060000	29403000	32849000	6	7	6	9	9	9	46				776	939;4052;4290;4291;7987	True;True;True;True;True	953;4114;4115;4356;4357;8143	5641;5642;5643;5644;5645;5646;24763;24764;24765;24766;24767;24768;24769;24770;24771;24772;24773;26259;26260;26261;26262;26263;26264;26265;26266;26267;26268;26269;26270;49428;49429;49430;49431;49432;49433	5737;5738;5739;5740;5741;5742;24861;24862;24863;24864;24865;24866;24867;24868;24869;24870;24871;24872;26304;26305;26306;26307;26308;26309;26310;26311;26312;26313;26314;26315;26316;26317;26318;26319;26320;26321;26322;26323;49775;49776;49777;49778;49779;49780;49781;49782	5737;24867;26311;26316;49778	130	64
sp|P61106|RAB14_HUMAN	sp|P61106|RAB14_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	20.9	20.9	20.9	23.897	215	215	0	12.769	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	20.9	20.9	20.9	20.9	20.9	20.9	23360000	2345100	3281500	3720800	4679100	4615900	4717700	0	0	0	0	0	3773100	0	0	0	1	0	1	2				777	3574;5335	True;True	3630;5437	21704;21705;21706;21707;21708;21709;32709;32710;32711;32712;32713;32714	21897;21898;32868	21898;32868		
sp|P61158|ARP3_HUMAN	sp|P61158|ARP3_HUMAN	5	5	5		1	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	16.5	16.5	16.5	47.371	418	418	0	48.72	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.6	16.5	16.5	16.5	16.5	16.5	100790000	10832000	14557000	14086000	19313000	17137000	24869000	16193000	15662000	13724000	16086000	16070000	18563000	4	4	3	2	6	7	26				778	1351;2015;2681;4278;5260	True;True;True;True;True	1372;2045;2719;4344;5361	8141;8142;8143;8144;8145;8146;12057;12058;12059;12060;12061;12062;16106;16107;16108;16109;16110;16111;26177;26178;26179;26180;26181;26182;26183;26184;26185;26186;26187;32234;32235;32236;32237;32238	8241;8242;12088;12089;12090;12091;12092;12093;16162;16163;16164;16165;16166;16167;16168;16169;26221;26222;26223;26224;26225;26226;26227;32344;32345;32346;32347;32348	8241;12091;16169;26224;32347		
sp|P61160|ARP2_HUMAN	sp|P61160|ARP2_HUMAN	6	6	6		1	6	6	6	5	5	5	6	5	5	5	5	5	6	5	5	5	5	5	6	5	5	21.3	21.3	21.3	44.76	394	394	0	68.441	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.5	17.5	17.5	21.3	17.5	17.5	76106000	9606900	8452500	9946100	19985000	13130000	14985000	10227000	10235000	9632200	15403000	13126000	14407000	4	4	3	4	5	7	27				779	2736;2829;2865;2867;3267;6349	True;True;True;True;True;True	2776;2870;2906;2908;3318;6472	16489;16490;16491;16492;16493;16494;17082;17083;17084;17085;17086;17087;17356;17357;17358;17359;17360;17361;17368;17369;17370;17371;17372;17373;19918;19919;19920;19921;19922;19923;39043	16608;16609;16610;16611;16612;16613;17135;17136;17137;17138;17139;17140;17418;17419;17420;17429;17430;17431;17432;20183;20184;20185;20186;20187;20188;20189;20190;39124	16613;17140;17420;17431;20190;39124		
sp|P61163|ACTZ_HUMAN	sp|P61163|ACTZ_HUMAN	6	6	4		1	6	6	4	5	5	5	6	6	5	5	5	5	6	6	5	3	3	3	4	4	3	21.8	21.8	16.8	42.613	376	376	0	118.32	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.8	21.8	21.8	21.8	21.8	21.8	98311000	12885000	12239000	13588000	26388000	16150000	17060000	14729000	15863000	14022000	21267000	13230000	15840000	5	4	3	10	5	7	34				780	572;1058;3554;3555;4902;6836	True;True;True;True;True;True	579;1076;3609;3610;4974;6963	3408;3409;3410;3411;3412;3413;6398;6399;6400;6401;6402;6403;21594;21595;21596;21597;21598;21599;21600;21601;29943;29944;29945;29946;29947;29948;42064;42065;42066;42067;42068;42069;42070;42071;42072;42073;42074;42075	3440;3441;3442;3443;3444;6546;6547;6548;6549;6550;6551;21809;21810;21811;21812;21813;21814;21815;29983;29984;29985;29986;29987;29988;29989;29990;42097;42098;42099;42100;42101;42102;42103;42104;42105	3441;6551;21812;21814;29983;42101		
sp|P61201|CSN2_HUMAN	sp|P61201|CSN2_HUMAN	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	8.1	8.1	8.1	51.596	443	443	0	12.649	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	8.1	8.1	8.1	8.1	8.1	8.1	21486000	2559500	2981300	2861900	5644500	3340500	4098000	2830800	3381900	3124800	4348200	3510300	3535600	1	2	1	0	1	1	6				781	3013;8171	True;True	3057;8331	18338;18339;18340;18341;18342;18343;50548;50549;50550;50551;50552;50553	18548;18549;50847;50848;50849;50850	18549;50847		
sp|P84077|ARF1_HUMAN;sp|P61204|ARF3_HUMAN;sp|P84085|ARF5_HUMAN;sp|P18085|ARF4_HUMAN	sp|P84077|ARF1_HUMAN;sp|P61204|ARF3_HUMAN	8;8;3;2	8;8;3;2	8;8;3;2	;	4	8	8	8	3	6	6	6	7	7	3	6	6	6	7	7	3	6	6	6	7	7	38.1	38.1	38.1	20.697	181	181;181;180;180	0	88.262	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22.7	38.1	38.1	38.1	38.1	38.1	94271000	5742500	13874000	15453000	13055000	20477000	25670000	13616000	12260000	18785000	15727000	12259000	16870000	3	3	3	5	6	9	29				782	802;803;804;2942;3269;5025;5587;5588	True;True;True;True;True;True;True;True	812;813;814;2985;3320;5110;5697;5698	4825;4826;4827;4828;4829;4830;4831;4832;4833;17911;17912;17913;17914;17915;17916;19930;19931;19932;19933;19934;30711;30712;30713;30714;30715;30716;34372;34373;34374;34375;34376;34377;34378;34379;34380	4983;4984;4985;4986;4987;4988;4989;18071;18072;18073;18074;18075;18076;18077;18078;18079;18080;18081;18082;20202;20203;20204;20205;30734;30735;34654;34655;34656;34657;34658;34659	4984;4988;4989;18082;20204;30734;34657;34658		
sp|P61221|ABCE1_HUMAN	sp|P61221|ABCE1_HUMAN	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	67.314	599	599	0.0050324	6.394	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.3	3.3	3.3	3.3	3.3	3.3	9069700	1034600	1391100	1009900	1090500	2373200	2170400	0	0	0	0	0	1735800	0	0	0	1	1	1	3				783	4275	True	4341	26153;26154;26155;26156;26157;26158	26205;26206;26207	26207		
sp|P61247|RS3A_HUMAN	sp|P61247|RS3A_HUMAN	5	5	5		1	5	5	5	3	5	5	5	4	5	3	5	5	5	4	5	3	5	5	5	4	5	24.6	24.6	24.6	29.945	264	264	0	57.27	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.8	24.6	24.6	24.6	19.7	24.6	66853000	4983300	9224600	13363000	14240000	9782900	15259000	6760000	9739100	11634000	13490000	8359800	13909000	2	2	2	4	1	7	18				784	493;1748;4230;7267;7733	True;True;True;True;True	500;1774;4295;7407;7885	2962;2963;2964;2965;2966;2967;10484;10485;10486;10487;10488;25851;25852;25853;25854;25855;44947;44948;44949;44950;44951;44952;47838;47839;47840;47841;47842	3057;10500;10501;10502;25930;25931;45149;45150;45151;45152;45153;45154;45155;45156;45157;45158;48197;48198	3057;10502;25930;45158;48198		
sp|Q9UNX3|RL26L_HUMAN;sp|P61254|RL26_HUMAN	sp|Q9UNX3|RL26L_HUMAN;sp|P61254|RL26_HUMAN	2;2	2;2	2;2	;	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	11	11	11	17.256	145	145;145	0	11.521	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.2	11	11	11	11	11	25108000	2963100	3271900	4323400	3631400	3818100	7099700	0	3505700	4191900	3633200	3789600	5677400	1	2	2	1	1	2	9				785	2034;8190	True;True	2066;8350	12185;12186;12187;12188;12189;12190;50671;50672;50673;50674;50675	12207;12208;12209;12210;12211;50966;50967;50968;50969	12209;50967		
sp|P61289|PSME3_HUMAN	sp|P61289|PSME3_HUMAN	3	3	3		1	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	14.6	14.6	14.6	29.506	254	254	0	47.743	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.6	14.6	14.6	14.6	10.6	14.6	56845000	7348200	6235000	10527000	16946000	6802900	8986600	7183100	6962700	9687100	16326000	7605100	7110400	3	3	3	2	1	5	17				786	5406;7047;7302	True;True;True	5511;7181;7443	33204;33205;33206;33207;33208;33209;43414;43415;43416;43417;43418;43419;43420;43421;43422;43423;43424;43425;45192;45193;45194;45195;45196	33384;33385;33386;33387;33388;43497;43498;43499;43500;43501;43502;43503;43504;43505;43506;43507;45411	33384;43501;45411		
sp|P61313|RL15_HUMAN	sp|P61313|RL15_HUMAN	3	3	3		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	16.2	16.2	16.2	24.146	204	204	0	21.577	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.2	16.2	16.2	16.2	16.2	16.2	35604000	5043500	3570400	5491600	7418000	6199400	7881200	5144800	4177700	4956600	6582800	5886700	7195100	2	1	1	2	2	4	12				787	1881;5939;8030	True;True;True	1909;6054;8187	11284;11285;11286;11287;11288;11289;36522;36523;36524;36525;36526;36527;49665;49666;49667;49668;49669;49670	11292;11293;11294;11295;11296;11297;36514;49965;49966;49967;49968;49969	11294;36514;49965		
